ZINC000013834040	COc1cc(Br)cc(C(=O)NC2CCN(Cc3ccc(F)cc3)CC2)c1OC
ZINC000026841490	CCCN1CCc2cc(F)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3
ZINC000072111515	O=c1ccc2ccc(OCCCCN3CCN(c4ccccc4OCCF)CC3)cc2[nH]1
ZINC000002539817	CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
ZINC000000537822	O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
ZINC000000001395	CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O
ZINC000003784279	CCN1CCC[C@H]1CNC(=O)c1cc(I)cc2c1OCC2
ZINC000013448549	COc1ccc(CN2CN(c3ccccc3)C3(CCN(CCCC(=O)c4ccc(F)cc4)CC3)C2=O)cc1
ZINC000034343065	CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(OC)c1OC
ZINC000002572278	CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O
ZINC000006483622	C=CCN1CCC[C@H]1CNC(=O)c1cc(CCCF)cc(OC)c1OC
ZINC000026381493	O=C(NC[C@@H]1CCCN1Cc1ccc(F)cc1)c1cc(I)cc2c1OCC2
ZINC000000586739	CNc1cc(OC)c(C(=O)N[C@H]2CCN(Cc3ccccc3)[C@H]2C)cc1Cl
ZINC000013448533	O=C(CCCN1CCC2(CC1)C(=O)N(Cc1ccccc1[N+](=O)[O-])CN2c1ccccc1)c1ccc(F)cc1
ZINC000013448536	O=C(CCCN1CCC2(CC1)C(=O)N(Cc1ccc([N+](=O)[O-])cc1)CN2c1ccccc1)c1ccc(F)cc1
ZINC000013684110	CN1CCc2ccccc2Cc2c(Cl)c(O)ccc2CC1
ZINC000000597434	CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCCCC3)CC1
ZINC000005833412	CCCN(CCc1ccsc1)[C@@H]1CCc2c(O)cccc2C1
ZINC000005833419	CCCN(CCc1ccsc1)[C@H]1CCc2c(O)cccc2C1
ZINC000013586900	O=c1[nH]c2ccc3c(c2[nH]1)O[C@H](CNCc1ccccc1)CC3
ZINC000013586902	O=C1Cc2c(ccc3c2O[C@@H](CNCc2ccccc2)CC3)N1
ZINC000072112749	COc1ccccc1N1CCN(CCCCOc2ccc3ccc(=O)[nH]c3c2)CC1
ZINC000103224157	CCCN1CCO[C@@H]2Cc3c(O)cccc3C[C@H]21
ZINC000013780379	COc1ccc(CCCCNCCOc2cc(F)cc3c2OC(C)(C)CC3)cc1
ZINC000013820623	COc1cc(Br)cc(C(=O)NC[C@@H]2CCCN2Cc2ccc(F)cc2)c1OC
ZINC000002021795	CCN1CCC[C@H]1CNC(=O)c1c(OC)c(Cl)cc(Cl)c1OC
ZINC000026154052	O=C1Cc2c(c(F)ccc2OCCNCCCc2c[nH]c3ccccc23)N1
ZINC000002559936	CNc1cc(OC)c(C(=O)N[C@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl
ZINC000003874491	CNc1cc(OC)c(C(=O)N[C@@H]2CCN(Cc3ccccc3)[C@H]2C)cc1Cl
ZINC000103268397	Oc1ccc2c(c1)O[C@@H](CNCCN1CCN(c3ccc(OCCF)cc3)CC1)CC2
ZINC000103268385	Oc1ccc2c(c1)O[C@@H](CNCc1ccccc1I)CC2
ZINC000000011666	CCCN1CCc2cc(OC)cc3c2[C@H]1Cc1ccc(O)c(O)c1-3
ZINC000013826411	CCCN1CCC[C@@H]2Cc3c(O)cccc3C[C@H]21
ZINC000150032902	O/N=C/c1cnn2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12
ZINC000001547096	S=c1[nH]c2cccc(OCCNCc3ccccc3)c2[nH]1
ZINC000002008258	O=c1[nH]c2cccc(OCCNCc3ccccc3)c2[nH]1
ZINC000003923630	FC(F)(F)c1nc2c(cccc2OCCNCc2ccccc2)[nH]1
ZINC000013820617	COc1cc(Br)c(O)c(C(=O)NC[C@H]2CCCN2Cc2ccc(F)cc2)c1OC
ZINC000052716752	COc1ccccc1N1CCN(CCOc2ccc3[nH]c(=S)[nH]c3c2)CC1
